"","Intervals","Swim Stroke","Lengths","Distance","Time","Cumulative Time","Avg Pace","Best Pace","Avg. Swolf","Avg HR","Max HR","Total Strokes","Avg Strokes","Calories"
"","21","Unknown","1","25","0:17.0","46:14","1:08","1:08","24","129","138","7","7","2"
"","21.1","--","1","25","0:17.0","0:17.0","1:08","1:08","24","128","135","7","--","--"
"","","Rest","0","0","2:15.8","48:30","0","0","0","122","145","0","0","12"
"","22","Unknown","1","25","0:17.0","48:47","1:08","1:08","25","121","131","8","8","1"
"","22.1","--","1","25","0:17.0","0:17.0","1:08","1:08","25","120","129","8","--","--"
"","","Rest","0","0","2:09.3","50:56","0","0","0","121","138","0","0","12"
"","23","Unknown","1","25","0:17.0","51:13","1:08","1:08","24","108","117","7","7","1"
"","23.1","--","1","25","0:17.0","0:17.0","1:08","1:08","24","108","116","7","--","--"
"","","Rest","0","0","2:10.8","53:24","0","0","0","116","138","0","0","8"
"","24","Unknown","1","25","0:17.3","53:41","1:09","1:09","25","120","131","8","8","1"
"","24.1","--","1","25","0:17.3","0:17.3","1:09","1:09","25","120","130","8","--","--"
"","","Rest","0","0","2:05.0","55:47","0","0","0","128","145","0","0","16"
"","25","Unknown","6","150","2:27.0","58:13","1:38","1:34","35","154","175","63","11","31"
"","25.1","--","1","25","0:25.8","0:25.8","1:43","1:43","35","121","134","9","--","--"
"","25.2","--","1","25","0:23.4","0:49.2","1:34","1:34","34","142","152","11","--","--"
"","25.3","--","1","25","0:24.1","1:13.4","1:37","1:37","35","157","161","11","--","--"
"","25.4","--","1","25","0:23.8","1:37.1","1:35","1:35","35","163","168","11","--","--"
"","25.5","--","1","25","0:25.8","2:02.9","1:43","1:43","36","173","175","10","--","--"
"","25.6","--","1","25","0:24.1","2:27.0","1:36","1:36","35","170","172","11","--","--"
"","","Rest","0","0","0:09.1","58:23","0","0","0","170","171","0","0","2"
"","Summary","--","78","1,950","58:23","58:23","0","1:07","34","135","200","702","10","584"
